Date,MKTX,AVGO,MTCH,CMCSA,AMD,TROW,ADBE,BIIB,ABMD,POOL
1/3/2022,392.8629761,648.0136108,134.2299957,49.43059158,150.2400055,188.7523804,564.3699951,244.1399994,366.2900085,546.4011841
1/4/2022,390.4275513,655.4382324,132.9700012,49.13688278,144.4199982,189.2761993,554,241.7299957,361.5899963,546.0437012
1/5/2022,375.2409058,628.1625366,125.5199966,49.16625214,136.1499939,181.8650208,514.4299927,239.2700043,338.2000122,525.677124
1/6/2022,369.6177063,622.3302612,126.0599976,49.45016479,136.2299957,184.3289642,514.1199951,237.3000031,336.4400024,516.8791504
1/7/2022,374.9538269,604.862854,125.2699966,48.99982071,132,185.8422394,510.7000122,232.6000061,319.2799988,499.6505127
1/10/2022,377.0031128,606.826416,126.5599976,49.45996094,132,183.5432281,525.8300171,235.3099976,306.7999878,492.8384399
1/11/2022,376.7358398,607.6959229,126,50.06694794,137.3099976,187.8793335,529.8900146,241.5200043,319.1000061,498.5482483
1/12/2022,367.6574707,607.6470337,124.0800018,49.88093567,137.4700012,175.4141846,532.3699951,225.3399963,315.4299927,509.223053
1/13/2022,360.2819824,583.4096069,123.1999969,50.20401382,132.7400055,171.9996185,516.9000244,236.6699982,306.7900085,503.6820984
1/14/2022,367.8258362,582.6084595,121.1500015,50.5956192,136.8800049,169.7296906,520.5999756,239.3000031,301.2200012,490.6439209
1/18/2022,361.262085,564.4572144,115.8700027,49.12709427,131.9299927,165.6457825,513.3400269,233.8099976,292.3800049,490.4552307
1/19/2022,369.6870117,550.9561157,116.2699966,49.27394867,128.2700043,162.7647247,516.5800171,230.8099976,302.019989,487.2279663
1/20/2022,365.5982666,535.0811157,118.6600037,49.16625214,121.8899994,159.8545685,510.8500061,225.9100037,302.75,473.0975342
1/21/2022,360.9353943,520.9254761,115.8399963,48.6865387,118.8099976,154.8976288,499.9100037,220.5200043,304.5700073,467.5863342
1/24/2022,361.5689697,529.0828247,117.25,49.01940155,116.5299988,154.5484161,519.6599731,224.6900024,311.9400024,474.2791748
1/25/2022,348.4910583,521.8145142,111.6999969,48.62779236,111.1299973,152.9284058,502.7200012,222.3099976,296.8399963,456.7724915
1/26/2022,329.324585,544.2642212,110.1699982,47.4431839,110.7099991,151.9292603,500.8099976,219.6000061,297.1400146,448.1036072
1/27/2022,326.8198853,529.7959595,106.5,47.00262451,102.5999985,145.36203,493.0499878,218.9400024,277.2999878,448.5901489
1/28/2022,331.9579773,547.175415,109.2200012,48.67674637,105.2399979,145.3232269,518.1599731,225.2100067,277.25,456.5043945
1/31/2022,341.0363159,572.3605347,112.6999969,48.941082,114.25,149.8048706,534.2999878,226,295.8699951,472.9187622
2/1/2022,347.2138977,579.0427246,112.0899963,48.89212799,116.7799988,151.0853271,535.9799805,229.3699951,301.3500061,470.4164124
2/2/2022,340.818512,589.5056152,118.0100021,48.941082,122.7600021,152.1523895,533.0900269,224.9600067,307.9599915,467.9736023
