,ret,stdev,sharpe,rf,MKTX,AVGO,MTCH,CMCSA,AMD,TROW,ADBE,BIIB,ABMD,POOL
0,-0.23952437622433398,0.373992133140297,-0.6824324727937279,0.015700000000000002,0.24197492588011613,0.9999999999999977,0.37463276462837986,-0.3082603761678277,-0.9999999999999994,0.3614274889393299,0.008514598496862842,0.04012763673904633,0.07805315249442599,0.20352980898966844
1,-0.9070909802741693,0.5346367936109576,-1.7243313428686455,0.0148,0.8405724074792726,1.0,0.3135419562309402,-0.057344214740385736,-0.9999999999999999,-0.5203612085406701,0.060937526004828095,0.16987408065748943,0.0036667587451316382,0.1891126941633936
2,-0.8374764029351556,1.7344733407450235,-0.4879731403491069,0.0089,-0.16050603166482025,0.9999999999999999,0.022628533905728165,-0.29271772117483735,-0.7231927738611702,-0.7677586294846813,0.8335446595097251,-0.13387929426612666,-0.048691364265790134,1.2705726213019726
3,4.668948064640541,0.7950925431213807,5.870068968723844,0.0017000000000000001,0.8052256886549025,-0.17023345868112535,-0.13582219678285093,0.9999999999999971,-0.9999999999999989,-0.5955772073817672,1.0,-0.43523295146948965,0.5316401256603317,8.881784197001252e-16
4,1.652865684918409,0.9181855774903681,1.7984008085072878,0.0016,-0.2912815312401474,0.256663476571421,1.0,1.0,0.054143310945881255,-0.9999999999999999,-1.0,0.9999999999999998,-0.544415476524111,0.5248902202469564
5,-1.5015845529921397,0.6310241187933414,-2.3822933358977694,0.0017000000000000001,0.9999999999999998,0.9999999999999999,-1.0,-0.5118974577485533,-1.0,0.5118974577485531,1.0,1.0,-0.999999999999999,-4.440892098500626e-16
6,-2.786121936346823,1.0774042741147265,-2.5874428042690076,0.0016,1.0,1.0,-1.0,1.0,-0.9803501518982757,-1.0,0.49479968735270907,-0.2699186097669512,0.4156098135202687,0.33985926079224926
7,0.8989090379506661,0.7663512746888248,1.1715372148564893,0.0011,0.9999999999999999,0.7921177753120513,-0.39082276529510374,1.0,-0.7090532194585402,-0.9722117025049904,1.0,-0.19998126989955914,-0.5993664141685446,0.0793175960146868
8,-0.169829885091497,0.8621004250375599,-0.19838742694512138,0.0012,0.6862281234256694,0.2267121685479044,-0.014495813833459898,-0.8865058037428081,-0.3283537179472691,-1.0,-0.49595580468825684,-0.18762915176178024,0.9999999999999999,2.0000000000000004
9,-2.569901471830716,0.44549892437893107,-5.7712854759752386,0.0012,-0.9999999999999997,1.0,-0.3744352515590425,1.0,-0.250480176442938,-0.5121215808978608,1.0,-0.771459560095109,0.17285349061318264,0.7356430783817672
