,ret,stdev,sharpe,rf,MKTX,AVGO,MTCH,CMCSA,AMD,TROW,ADBE,BIIB,ABMD,POOL
0,0.6002232960003657,0.273011166677735,2.1945010648871244,0.0011,1.3327276799150266e-14,0.999999999999756,0.0,9.683358510505105e-15,0.0,1.5289616836688382e-15,0.0,2.582378755278114e-13,8.22566182646704e-15,-4.6851411639181606e-14
1,0.7580199504285794,0.34536012165351127,2.1919726771120183,0.001,0.0,0.9740677827062348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02593221729376516
2,-0.3558014739555728,0.5049775784605827,-0.7061728860173706,0.0008,0.0,0.9703448175518232,0.029655182448174784,2.7033725055421477e-15,0.0,0.0,0.0,0.0,0.0,-6.661338147750939e-16
3,-0.19307204400002637,0.25432805068685144,-0.7618980426135284,0.0007000000000000001,7.466249840604178e-15,0.9999999999999986,6.13398221105399e-15,0.0,6.938893903907228e-16,1.942890293094024e-16,0.0,0.0,0.0,-1.3100631690576847e-14
4,0.3185453160000452,0.2960868695120951,1.0741621758645838,0.0005,0.0,0.9999999999996859,0.0,2.1010970741031088e-14,0.0,0.0,0.0,0.0,0.0,2.9309887850104133e-13
5,1.5106827480000047,0.29792809027626144,5.069286171033944,0.0004,0.0,0.0,1.0,0.0,0.0,3.504690528946572e-16,0.0,1.5112286266033913e-15,0.0,-1.9984014443252818e-15
6,-0.6771587040000167,0.3403165555235622,-1.9918475695581737,0.0007000000000000001,0.0,5.898059818321144e-14,0.0,0.0,0.0,0.0,0.0,1.0,2.9698465908722937e-15,-6.195044477408373e-14
7,1.0550536799999986,0.14217482679307422,7.415895653135126,0.0007000000000000001,0.0,0.0,0.0,5.729710046685811e-15,2.989874759836383e-15,0.9999999999999354,0.0,1.4377388168895777e-13,2.9345351725534294e-15,-9.08162434143378e-14
8,-2.050752455999974,0.2645059189608694,-7.756168421711113,0.0008,1.3850032232198828e-14,0.0,4.3576253716537394e-15,6.5780714209040525e-15,7.466249840604178e-15,0.0,0.0,0.9999999999999808,8.798517470154366e-15,-2.19824158875781e-14
9,1.2555514114137094,0.20161618235747256,6.222969787163059,0.0009,0.0,0.07961580990929051,7.662229178796578e-16,0.0,0.0,0.0,0.9203841900906946,0.0,0.0,1.4099832412739488e-14
10,-1.690118879999813,0.34435119575183043,-4.912481503967077,0.0015,0.0,0.0,0.9999999999999248,0.0,0.0,2.0788926136106056e-14,0.0,0.0,0.0,5.440092820663267e-14
11,1.9340534404593326,0.2692775799697596,7.174579631457973,0.0021,0.3764550940751503,0.38194281470832686,2.6899435403276268e-15,1.6940448011687684e-14,7.0696503859518e-16,6.327017872751284e-15,9.715395636653937e-15,0.24160209121651344,4.604400690967566e-17,-2.708944180085382e-14
12,-1.0777636800000008,0.4001630658224952,-2.7028073612364865,0.0038,7.710898554224836e-16,3.3095563666107735e-15,0.0,0.0,0.0,0.0,0.9999999999999986,0.0,0.0,-2.6645352591003757e-15
13,0.45828692874585375,0.3114727720270165,1.4472755541750963,0.0075,0.23227306806343312,0.29489924208221535,8.345625748392227e-16,0.0,0.033581799163146915,0.0519719065543633,0.0,4.736525664040716e-16,3.0982534593157654e-16,0.38727398413683956
14,1.3731332999999972,0.389044472086423,3.5061115061853094,0.0091,0.0,0.9999999999999925,0.0,0.0,9.43689570931383e-15,0.0,8.123618689361391e-16,6.541226401868232e-16,1.3758682252572281e-15,-4.6629367034256575e-15
15,-3.392048735999983,0.544022817157412,-6.265267978665967,0.016399999999999998,0.0,1.7157143970137399e-15,0.0,0.0,0.999999999999992,1.5297734109120034e-16,0.0,0.0,0.0,6.217248937900877e-15
16,0.4777147618924329,0.4925610294766303,0.9272247184835435,0.021,0.0,0.5101282333123214,0.0,0.0,0.0,0.48987176669694016,0.0,0.0,0.0,-9.261480471423056e-12
17,0.23640014399999998,0.38076905607064954,0.5662228601895544,0.0208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18,1.1415049729949032,0.24622240608917703,4.522354365230323,0.027999999999999997,0.17284253930358845,0.8271574606964176,0.0,5.242194958858866e-16,0.0,0.0,0.0,2.34999418067464e-16,0.0,-6.661338147750939e-15
19,-0.5726467320000175,0.25017645983133535,-2.4080872053516815,0.0298,6.356026815979021e-15,6.5780714209040525e-15,3.913536161803677e-15,0.9999999999999957,5.689893001203927e-15,7.466249840604178e-15,5.023759186428833e-15,0.0,2.8033131371785203e-15,-3.375077994860476e-14
20,-0.0733311766351885,0.7487815229230028,-0.1444095150920379,0.0348,1.8572538331913534e-15,1.1448704258770697e-15,0.0,0.0,0.0,0.0,0.5840825226840418,0.41591747731599,0.0,-3.4861002973229915e-14
21,0.6957998303249195,0.40788845298442616,1.6082824250726377,0.0398,0.0,0.9382849479158544,1.0337782438431781e-13,0.0,9.665903459170089e-14,4.5511923973724704e-14,0.061715052083923486,1.3483845881624084e-13,2.841359308173074e-14,-1.8673951274195133e-13
